"iata,""type"",""name_ru"",""name_en"",""coordinates"",""timezone"",""parent_name_en"""
"IXE,""city"",""Мангалуру"",""Mangalore"",""12.9141417:74.8559568"",""Asia/Kolkata"",""India"""
"IXG,""city"",""Белгаум"",""Belgaum"",""15.85036:74.504669"",""Asia/Kolkata"",""India"""
"IXH,""city"",""Кайлашихар"",""Kailashahar"",""24.31:92.01"",""Asia/Kolkata"",""India"""
"IXI,""city"",""Лилабари"",""Lilabari"",""27.294647:94.096646"",""Asia/Kolkata"",""India"""
"IXJ,""city"",""Джамму"",""Jammu"",""32.69:74.84"",""Asia/Kolkata"",""India"""
"IXK,""city"",""Кешод"",""Keshod"",""21.32:70.27"",""Asia/Kolkata"",""India"""
"IXL,""city"",""Лех"",""Leh"",""34.14:77.55"",""Asia/Kolkata"",""India"""
"IXM,""city"",""Мадура"",""Madurai"",""9.9252007:78.1197754"",""Asia/Kolkata"",""India"""
"IXN,""city"",""Ховай"",""Khowai"",""24.06:91.6"",""Asia/Kolkata"",""India"""
"IXP,""city"",""Патанкот"",""Pathankot"",""32.23:75.63"",""Asia/Kolkata"",""India"""
"IXQ,""city"",""Камалпур"",""Kamalpur"",""24.14:91.81"",""Asia/Kolkata"",""India"""
"IXR,""city"",""Ранчи"",""Ranchi"",""23.3440997:85.309562"",""Asia/Kolkata"",""India"""
"IXS,""city"",""Силчар"",""Silchar"",""24.91:92.98"",""Asia/Kolkata"",""India"""
"IXT,""city"",""Пасингхат"",""Pasighat"",""28.1:95.38"",""Asia/Kolkata"",""India"""
"IXU,""city"",""Аурангабад"",""Aurangabad"",""19.8853:75.319656"",""Asia/Kolkata"",""India"""
"IXV,""city"",""Алонг"",""Along"",""28.18:94.8"",""Asia/Kolkata"",""India"""
"IXW,""city"",""Джамшедпур"",""Jamshedpur"",""22.77849:86.209"",""Asia/Kolkata"",""India"""
"IXY,""city"",""Кандла"",""Kandla"",""23.112435:70.100402"",""Asia/Kolkata"",""India"""
"IXZ,""city"",""Порт Блэр"",""Port Blair"",""11.667087:92.745413"",""Asia/Kolkata"",""India"""
"IYK,""city"",""Иньокерн"",""Inyokern"",""35.6468991:-117.8125674"",""America/Los_Angeles"",""United States"""
"IZM,""city"",""Измир"",""Izmir"",""38.29:27.16"",""Europe/Istanbul"",""Turkey"""
"IZO,""city"",""Идзумо"",""Izumo"",""35.3670351:132.7546815"",""Asia/Tokyo"",""Japan"""
"IZT,""city"",""Сьюдад-Истепек"",""Ixtepec"",""16.45:-95.09"",""America/Mexico_City"",""Mexico"""
"JAA,""city"",""Джалалабад"",""Jalalabad"",""34.4344:70.4612"",""Asia/Kabul"",""Afghanistan"""
"JAB,""city"",""Джаберу"",""Jabiru"",""-12.6727648:132.8326934"",""Australia/Darwin"",""Australia"""
"JAC,""city"",""Джексон"",""Jackson"",""43.4799291:-110.7624282"",""America/Chicago"",""United States"""
"JAF,""city"",""Джафна"",""Jaffna"",""9.668333:80.006393"",""Asia/Colombo"",""Sri Lanka"""
"JAG,""city"",""Джейкобабад"",""Jacobabad"",""28.276211:68.43428"",""Asia/Karachi"",""Pakistan"""
"JAH,""city"",""Обань"",""Aubagne"",,,""France"""
"JAI,""city"",""Джайпур"",""Jaipur"",""26.917:75.817"",""Asia/Kolkata"",""India"""
"JAK,""city"",""Жакмеле"",""Jacmel"",""18.238072:-72.53405"",""America/Port-au-Prince"",""Haiti"""
"JAL,""city"",""Халапа"",""Jalapa"",""19.5426237:-96.9137441"",""America/Mexico_City"",""Mexico"""
"JAM,""city"",""Ямбол"",""Jambol"",""42.4837689:26.5107717"",""Asia/Kabul"",""Bulgaria"""
"JAN,""city"",""Джексон"",""Jackson"",""32.2987573:-90.1848103"",""America/Chicago"",""United States"""
"JAP,""city"",""Пунта Ренес"",""Punta Renes"",""10.95:-85.85"",""America/Costa_Rica"",""Costa Rica"""
"JAQ,""city"",""Джакуинот Бэй"",""Jacquinot Bay"",""-5.65:151.51"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"JAR,""city"",""Джаром"",""Jahrom"",,""+8.0"",""United States"""
"JAS,""city"",""Джаспер"",""Jasper"",""35.06:-85.59"",""America/New_York"",""United States"""
"JAT,""city"",""Джабот"",""Jabot"",""7.75:168.96666"",""America/Bahia"",""Marshall Islands"""
"JAU,""city"",""Хауха"",""Jauja"",""-11.775:-75.5"",""America/Lima"",""Peru"""
"JAV,""city"",""Илулиссат"",""Ilulissat"",""69.2166667:-51.1"",""America/Godthab"",""Greenland"""
"JAX,""city"",""Джексонвилл"",""Jacksonville"",""30.3321838:-81.655651"",""America/Havana"",""United States"""
"JBK,""city"",""Беркли"",""Berkeley"",""37.8715926:-122.272747"",""America/New_York"",""United States"""
"JBR,""city"",""Джонсборо"",""Jonesboro"",""35.8422967:-90.704279"",""America/Indiana/Knox"",""United States"""
"JBS,""city"",""Плезантон"",""Pleasanton"",,,""United States"""
"JCB,""city"",""Жоасаба"",""Joacaba"",""-27.1784435:-51.5050139"",""America/Sao_Paulo"",""Brazil"""
"JCH,""city"",""Касигианнгуит"",""Qasigiannguit"",""68.8194444:-51.1933333"",""America/Godthab"",""Greenland"""
"JCK,""city"",""Джулия Крик"",""Julia Creek"",""-20.6565165:141.7456889"",""Australia/Adelaide"",""Australia"""
"JCM,""city"",""Жакоби"",""Jacobina"",""-11.1854516:-40.5360789"",""America/Maceio"",""Brazil"""
"JCO,""city"",""Комино"",""Comino"",,,""Malta"""
"JCR,""city"",""Жакареаканга"",""Jacareacanga"",""-6.278542:-57.651791"",""America/Santarem"",""Brazil"""
"JCT,""city"",""Джанкшен"",""Junction"",""30.4893555:-99.7720109"",""America/North_Dakota/New_Salem"",""United States"""
"JCU,""city"",""Кеута"",""Ceuta"",,,""Spain"""
"JCY,""city"",""Джонсон"",""Johnson"",""30.25:-98.62"",""America/New_York"",""United States"""
"JDA,""city"",""Джон Дей"",""John Day"",""44.4159883:-118.95301"",""America/Los_Angeles"",""United States"""
"JDF,""city"",""Жуис-ди-Фора"",""Juiz De Fora"",""-21.7650083:-43.3488245"",""America/Sao_Paulo"",""Brazil"""
"JDH,""city"",""Джодхпур"",""Jodhpur"",""26.2567287:73.0170442"",""Asia/Kolkata"",""India"""
"JDN,""city"",""Джордан"",""Jordan"",""47.320834:-106.9100663"",""America/Chicago"",""United States"""
"JDO,""city"",""Жуазейру-ду-Норти"",""Juazeiro Do Norte"",""-7.2372335:-39.3221838"",""America/Fortaleza"",""Brazil"""
"JDY,""city"",""Дауни"",""Downey"",,,""United States"""
"JDZ,""city"",""Цзиндэчжэнь"",""Jingdezhen"",""29.307094:117.181566"",""Asia/Shanghai"",""China"""
"JED,""city"",""Джидда"",""Jeddah"",""21.5434857:39.1729892"",""Asia/Riyadh"",""Saudi Arabia"""
"JEE,""city"",""Жереми"",""Jeremie"",""18.65:-74.1166667"",""America/Port-au-Prince"",""Haiti"""
"JEF,""city"",""Джефферсон Сити"",""Jefferson City"",""38.5767017:-92.1735164"",""America/North_Dakota/New_Salem"",""United States"""
"JEG,""city"",""Аасиаат"",""Aasiaat"",""68.7097222:-52.8694444"",""America/Godthab"",""Greenland"""
"JEJ,""city"",""Джех"",""Jeh"",""7.56:168.96"",""Pacific/Majuro"",""Marshall Islands"""
"JEM,""city"",""Эмеривилль"",""Emeryville"",,,""United States"""
"JEQ,""city"",""Жекие"",""Jequie"",""-13.8510445:-40.0811734"",""America/Sao_Paulo"",""Brazil"""
"JER,""city"",""Бейливик оф Джерси"",""Jersey"",""49.21:-2.2"",""Europe/Jersey"",""United Kingdom"""
"JEV,""city"",""Эври"",""Evry"",,,""France"""
"JFM,""city"",""Фремантл"",""Fremantle"",,,""Australia"""
"JFN,""city"",""Джефферсон"",""Jefferson"",""41.7386662:-80.7698066"",""America/Chicago"",""United States"""
"JFR,""city"",""Паамиут"",""Paamiut"",""61.9944444:-49.6666667"",""America/Godthab"",""Greenland"""
"JGA,""city"",""Джамнагаром"",""Jamnagar"",""22.47:70.01"",""Asia/Kolkata"",""India"""
"JGB,""city"",""Джагдалпур"",""Jagdalpur"",""19.07:82.04"",""Asia/Kolkata"",""India"""
"JGE,""city"",""Коджи"",""Geoje"",,,""South Korea"""
"JGN,""city"",""Цзяюйгуань"",""Jiayuguan"",""39.77313:98.289152"",""Asia/Urumqi"",""China"""
"JGO,""city"",""Кекертарсуак"",""Qeqertarsuaq"",""69.25:-53.54"",""America/Godthab"",""Greenland"""
"JGR,""city"",""Гроеннедаль"",""Groennedal"",,,""Greenland"""
"JGS,""city"",""Цзиань"",""Ji An"",""27.113039:114.992913"",,""China"""
"JHB,""city"",""Джохор Бахру"",""Johor Bahru"",""1.46343:103.7547149"",""Asia/Kuala_Lumpur"",""Malaysia"""
"JHG,""city"",""Дзинхонг"",""Jinghong"",""21.97:100.76"",""Asia/Chongqing"",""China"""
"JHM,""city"",""Лахайна"",""Lahaina"",""20.8783333:-156.6825"",""America/New_York"",""United States"""
"JHQ,""city"",""Шати Харбор"",""Shute Harbour"",,,""Australia"""
"JHS,""city"",""Сисимиут"",""Sisimiut"",""66.9388889:-53.6722222"",""America/Godthab"",""Greenland"""
"JHW,""city"",""Джеймстаун"",""Jamestown"",""42.0970023:-79.2353259"",""America/Chicago"",""United States"""
"JIA,""city"",""Жуи"",""Juina"",""-11.3810827:-58.7390253"",""America/Rio_Branco"",""Brazil"""
"JIB,""city"",""Джибути"",""Djibouti"",""11.588:43.145"",""Africa/Djibouti"",""Djibouti"""
"JIJ,""city"",""Джиджига"",""Jijiga"",""9.35:42.8"",""Africa/Addis_Ababa"",""Ethiopia"""
"JIK,""city"",""Икария"",""Ikaria Island"",""37.5967227:26.1123078"",""Europe/Athens"",""Greece"""
"JIL,""city"",""Цзилинь"",""Jilin"",""44.0:126.4"",""Asia/Chongqing"",""China"""
"JIM,""city"",""Джимма"",""Jimma"",""7.678478:36.83844"",""Africa/Addis_Ababa"",""Ethiopia"""
"JIN,""city"",""Йиня"",""Jinja"",""0.45:33.2"",""Africa/Kampala"",""Uganda"""
"JIP,""city"",""Хипихапа"",""Jipijapa"",""-1.350618:-80.579529"",""America/Guayaquil"",""Ecuador"""
"JIR,""city"",""Джири"",""Jiri"",""27.6333333:86.2333333"",""Asia/Kathmandu"",""Nepal"""
"JIU,""city"",""Цзюцзян"",""Jiujiang"",""29.705096:116.001982"",""Asia/Chongqing"",""China"""
"JIW,""city"",""Дживани"",""Jiwani"",""25.07:61.81"",""Asia/Karachi"",""Pakistan"""
"JJI,""city"",""Хуанхуй"",""Juanjui"",""-7.1802389:-76.7264667"",""America/Lima"",""Peru"""
"JJN,""city"",""Дзиндзианг"",""Jinjiang"",""24.8:118.59"",""Asia/Shanghai"",""China"""
"JJU,""city"",""Какорток"",""Qaqortoq"",,,""Greenland"""
"JKG,""city"",""Йёнчёпинг"",""Jonkoping"",""57.7817978:14.1585104"",""Europe/Stockholm"",""Sweden"""
"JKH,""city"",""Хиос"",""Chios"",""38.363804:26.137232"",""Europe/Athens"",""Greece"""
"JKR,""city"",""Джанакпур"",""Janakpur"",""26.73267:85.924789"",""Asia/Kathmandu"",""Nepal"""
"JKT,""city"",""Джакарта"",""Jakarta"",""-6.211544:106.845172"",""Asia/Jakarta"",""Indonesia"""
"JKV,""city"",""Джексонвилл"",""Jacksonville"",""31.963778:-95.2705042"",""America/Indiana/Vevay"",""United States"""
"JLA,""city"",""Купер Лодж"",""Cooper Lodge"",""60.48:-149.72"",""America/Nome"",""United States"""
"JLD,""city"",""Ландскрона"",""Landskrona"",,,""Sweden"""
"JLH,""city"",""Арлингтон Хейтс"",""Arlington Heights"",,""America/Kentucky/Monticello"",""United States"""
"JLN,""city"",""Джоплин"",""Joplin"",""37.0842271:-94.513281"",""America/North_Dakota/New_Salem"",""United States"""
"JLO,""city"",""Йезоло"",""Jesolo"",""45.5:12.6"",""Europe/Rome"",""Italy"""
"JLP,""city"",""Жуан Ле Пен"",""Juan Les Pins"",""43.569246:7.10836"",""Europe/Paris"",""France"""
"JLR,""city"",""Джабалпур"",""Jabalpur"",""23.165586:79.94303"",""Asia/Kolkata"",""India"""
"JLS,""city"",""Джалес"",""Jales"",,""America/Sao_Paulo"",""Brazil"""
"JMB,""city"",""Джамба"",""Jamba"",""-14.68:16.03"",""Africa/Luanda"",""Angola"""
"JMC,""city"",""Саусалито"",""Sausalito"",""37.8590937:-122.4852507"",""America/Los_Angeles"",""United States"""
"JMH,""city"",""Шаумбург"",""Schaumburg"",,,""United States"""
"JMK,""city"",""Миконос"",""Mikonos"",""37.446389:25.32855"",""Europe/Athens"",""Greece"""
"JMO,""city"",""Джомсом"",""Jomsom"",""28.7833333:83.7305556"",""Asia/Kathmandu"",""Nepal"""
"JMS,""city"",""Джеймстаун"",""Jamestown"",""46.9105438:-98.7084357"",""America/Chicago"",""United States"""
"JMU,""city"",""Цзямусы"",""Jiamusi"",""46.799923:130.318917"",""Asia/Harbin"",""China"""
"JNA,""city"",""Жануария"",""Januaria"",""-15.4956398:-44.3625917"",""America/Sao_Paulo"",""Brazil"""
"JNB,""city"",""Йоханесбург"",""Johannesburg"",""-26.2041028:28.0473051"",""Africa/Johannesburg"",""South Africa"""
"JNG,""city"",""Цзинин"",""Jining"",""35.414864:116.587259"",""Asia/Shanghai"",""China"""
"JNI,""city"",""Хунин"",""Junin"",""-34.5822105:-60.9494019"",""America/Argentina/Buenos_Aires"",""Argentina"""
"JNN,""city"",""Нонорталик"",""Nanortalik"",""60.14:-45.23"",""America/Godthab"",""Greenland"""
"JNP,""city"",""Ньюпорт Бич"",""Newport Beach"",,,""United States"""
"JNS,""city"",""Нарсдак"",""Narsaq"",,,""Greenland"""
"JNU,""city"",""Джуно"",""Juneau"",""58.3019444:-134.4197222"",""America/New_York"",""United States"""
"JNX,""city"",""Наксос"",""Naxos"",""37.106821:25.375576"",""Europe/Athens"",""Greece"""
"JNZ,""city"",""Цзиньчжоу"",""Jinzhou"",""41.095123:121.127063"",""Asia/Harbin"",""China"""
"JOE,""city"",""Йоэнсуу"",""Joensuu"",""62.6009889:29.763534"",""Europe/Helsinki"",""Finland"""
"JOG,""city"",""Джокьякарта"",""Yogyakarta"",""-7.797224:110.368797"",""Asia/Jakarta"",""Indonesia"""
"JOH,""city"",""Порт Сант Джонс"",""Port Saint Johns"",""-31.61:29.52"",""Africa/Johannesburg"",""South Africa"""
"JOI,""city"",""Жоинвили"",""Joinville"",""-26.3050883:-48.8460931"",""America/Sao_Paulo"",""Brazil"""
"JOK,""city"",""Йошкар-Ола"",""Yoshkar-Ola"",""56.6375007:47.8914985"",""Europe/Moscow"",""Russia"""
"JOL,""city"",""Джоли"",""Jolo"",""6.05:121.01"",""Asia/Manila"",""Philippines"""
"JOM,""city"",""Нйомбе"",""Njombe"",""-9.35:34.8"",""Africa/Dar_es_Salaam"",""Tanzania"""
"JON,""city"",""Джонстон Айленд"",""Johnston Island"",""16.73:-169.54"",""Pacific/Johnston"",""United States Minor Outlying Islands"""
"JOP,""city"",""Джосефстаал"",""Josephstaal"",""-4.75:145.01"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"JOS,""city"",""Йос"",""Jos"",""9.9244:8.893388"",""Africa/Lagos"",""Nigeria"""
"JOT,""city"",""Джолит"",""Joliet"",""41.525031:-88.0817251"",""America/Chicago"",""United States"""
"JPA,""city"",""Жуан Песоа"",""Joao Pessoa"",""-7.11532:-34.8610512"",""America/Fortaleza"",""Brazil"""
"JPD,""city"",,""Pasadena"",,,""United States"""
"JPR,""city"",""Жи-Парана"",""Ji-Parana"",""-10.87:-61.85"",""America/Porto_Velho"",""Brazil"""
"JQA,""city"",""Карсут"",""Qaarsut"",""70.7336882:-52.6948704"",""America/Godthab"",""Greenland"""
"JQE,""city"",""Хаке"",""Jaque"",""7.515202:-78.162235"",""America/Panama"",""Panama"""
"JQF,""city"",""Конкорд"",""Concord"",""35.4087517:-80.579511"",,""United States"""
"JRH,""city"",""Джорхат"",""Jorhat"",""26.73:94.18"",""Asia/Kolkata"",""India"""
"JRK,""city"",""Арсук"",""Arsuk"",""61.178211:-48.459202"",""America/Godthab"",""Greenland"""
"JRN,""city"",""Джурена"",""Juruena"",""-10.31:-58.49"",""America/Cuiaba"",""Brazil"""
"JRO,""city"",""Килиманджаро"",""Kilimanjaro"",""-3.43:37.07"",""Africa/Dar_es_Salaam"",""Tanzania"""
"JRS,""city"",""Иерусалим"",""Jerusalem"",""31.7857:35.2007"",""Asia/Jerusalem"",""Israel"""
"JSA,""city"",""Джайсалмер"",""Jaisalmer"",""26.92:70.9"",""Asia/Kolkata"",""India"""
"JSD,""city"",""Стрэдфорд"",""Stratford"",,,""United States"""
"JSH,""city"",""Ситиа"",""Sitia"",""35.22:26.1"",""Europe/Athens"",""Greece"""
"JSI,""city"",""Скиатос"",""Skiathos"",""39.1562947:23.4418908"",""Europe/Athens"",""Greece"""
"JSM,""city"",""Хосе де Сан Мартин"",""Jose De San Martin"",""-44.0331993:-70.4827881"",""America/Argentina/Catamarca"",""Argentina"""
"JSO,""city"",""Содерталге"",""Sodertalje"",,,""Sweden"""
"JSR,""city"",""Джессор"",""Jessore"",""23.1666667:89.2166667"",""Asia/Dhaka"",""Bangladesh"""
"JSS,""city"",""Спеце"",""Spetsai Island"",""37.2625973:23.1322437"",""Europe/Athens"",""Greece"""
"JST,""city"",""Джонстаун"",""Johnstown"",""40.3267407:-78.9219698"",""America/Chicago"",""United States"""
"JSU,""city"",""Мантиисок"",""Maniitsoq"",,,""Greenland"""
"JSY,""city"",""Сирос"",""Syros Island"",""37.4234105:24.916088"",""Europe/Athens"",""Greece"""
"JTI,""city"",""Джатай"",""Jatai"",""-13.83:-51.77"",""America/Sao_Paulo"",""Brazil"""
"JTO,""city"",""Тоусанд Оукс"",""Thousand Oaks"",,,""United States"""
"JTR,""city"",""Санторини"",""Santorini"",""36.4:25.48"",""Europe/Athens"",""Greece"""
"JTY,""city"",""Аступалайа Айленд"",""Astypalaia Island"",""36.58:26.38"",""Europe/Athens"",""Greece"""
"JUA,""city"",""Жуара"",""Juara"",""-11.2553463:-57.5203829"",""America/Cuiaba"",""Brazil"""
"JUB,""city"",""Джуба"",""Juba"",""4.865:31.6"",""Africa/Khartoum"",""Sudan"""
"JUI,""city"",""Юист"",""Juist"",""53.6739671:6.9487"",""Europe/Berlin"",""Germany"""
"JUJ,""city"",""Джуджуй"",""Jujuy"",""-24.39:-65.1"",""America/Argentina/Jujuy"",""Argentina"""
"JUL,""city"",""Хульяка"",""Juliaca"",""-15.49918:-70.135223"",""America/Lima"",""Peru"""
"JUM,""city"",""Джумла"",""Jumla"",""29.27:82.19"",""Asia/Kathmandu"",""Nepal"""
"JUN,""city"",""Джунда"",""Jundah"",""-24.8309128:143.0589072"",""Australia/Brisbane"",""Australia"""
"JUO,""city"",""Джурадо"",""Jurado"",""6.52:-76.6"",""America/Bogota"",""Colombia"""
"JUR,""city"",""Джуриен Бэй"",""Jurien Bay"",""-30.3:115.06"",""Australia/Perth"",""Australia"""
"JUT,""city"",""Хутикальпа"",""Juticalpa"",""14.6591228:-86.2285777"",""America/Tegucigalpa"",""Honduras"""
"JUV,""city"",""Упернавик"",""Upernavik"",,,""Greenland"""
"JUZ,""city"",""Дзужоу"",""Juzhou"",""28.97:118.9"",""Asia/Shanghai"",""China"""
"JVA,""city"",""Анкавандра"",""Ankavandra"",""-18.77384:45.289188"",""Indian/Antananarivo"",""Madagascar"""
"JVI,""city"",""Манвилл"",""Manville"",""40.5409367:-74.5876569"",""America/Indiana/Indianapolis"",""United States"""
"JVL,""city"",""Джейнсвилл"",""Janesville"",""42.6827885:-89.0187222"",""America/Chicago"",""United States"""
"JVY,""city"",""Джефферсонвилль"",""Jeffersonville"",""38.2775702:-85.7371847"",,""United States"""
"JWA,""city"",""Дваненг"",""Jwaneng"",""-24.6:24.69"",""Africa/Gaborone"",""Botswana"""
"JWN,""city"",""Зенджан"",""Zanjan"",""36.67094:48.485111"",""+0.0"",""Iran"""
"JXN,""city"",""Джексон"",""Jackson"",""42.245869:-84.4013462"",""America/Chicago"",""United States"""
"JYR,""city"",""Джирофт"",""Jiroft"",,,""Iran"""
"JYV,""city"",""Ювяскюля"",""Jyvaskyla"",""62.2425592:25.7475039"",""Europe/Helsinki"",""Finland"""
"JZH,""city"",""Сонг Пан"",""Song Pan"",,,""China"""
"KAA,""city"",""Касама"",""Kasama"",""-10.22:31.13"",""Africa/Lusaka"",""Zambia"""
"KAB,""city"",""Кариба"",""Kariba"",""-16.52:28.88"",""Africa/Harare"",""Zimbabwe"""
"KAC,""city"",""Эль-Камышлы"",""Kameshli"",""37.052361:41.241371"",""Asia/Damascus"",""Syria"""
"KAD,""city"",""Кадуна"",""Kaduna"",""10.5166667:7.4333333"",""Africa/Lagos"",""Nigeria"""
"KAE,""city"",""Каке"",""Kake"",,""America/Juneau"",""United States"""
"KAF,""city"",""Карато"",""Karato"",""-6.28:155.3"",""Asia/Tokyo"",""Papua New Guinea"""
"KAG,""city"",""Каннын"",""Gangneung"",""37.751853:128.8760574"",""Asia/Seoul"",""South Korea"""
"KAI,""city"",""Каиетеур"",""Kaieteur"",""5.17:-59.48"",""America/Guyana"",""Guyana"""
"KAJ,""city"",""Каяни"",""Kajaani"",""64.227:27.7285"",""Europe/Helsinki"",""Finland"""
"KAK,""city"",""Кар"",""Kar"",""-6.23:143.55"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"KAL,""city"",""Калтэг"",""Kaltag"",""64.3272222:-158.7219444"",""America/Nome"",""United States"""
"KAM,""city"",""Камаран"",""Kamaran Island"",""15.344081:42.5803682"",""Asia/Aden"",""Yemen"""
"KAN,""city"",""Кано"",""Kano"",""12.0:8.516667"",""Africa/Lagos"",""Nigeria"""
"KAO,""city"",""Куусамо"",""Kuusamo"",""65.9645:29.1888"",""Europe/Helsinki"",""Finland"""
"KAP,""city"",""Капанга"",""Kapanga"",""-8.3535302:22.649662"",""Africa/Lubumbashi"",""Democratic Republic of the Congo"""
"KAQ,""city"",""Камулаи"",""Kamulai"",""-8.13:146.82"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"KAR,""city"",""Камаранг"",""Kamarang"",""5.87:-60.61"",""America/Guyana"",""Guyana"""
"KAS,""city"",""Карасбург"",""Karasburg"",""-28.02186:18.744989"",""Africa/Windhoek"",""Namibia"""
"KAT,""city"",""Каитаиа"",""Kaitaia"",""-35.1173296:173.2675593"",""Pacific/Auckland"",""New Zealand"""
"KAU,""city"",""Каухава"",""Kauhava"",""63.13:23.05"",""Europe/Helsinki"",""Finland"""
"KAV,""city"",""Каванайен"",""Kavanayen"",""5.5852444:-61.7517233"",""America/Caracas"",""Venezuela"""
"KAW,""city"",""Кавтануг"",""Kawthaung"",""10.05:98.54"",""Asia/Rangoon"",""Myanmar"""
"KAX,""city"",""Кальбари"",""Kalbarri"",""-27.7110529:114.1645358"",""Australia/Perth"",""Australia"""
"KAY,""city"",""Уэйкайя"",""Wakaya Island"",""-17.6160613:179.0012007"",""Pacific/Fiji"",""Fiji"""
"KAZ,""city"",""Кау"",""Kau"",""1.19:127.9"",""Asia/Jayapura"",""Indonesia"""
"KBA,""city"",""Кабала"",""Kabala"",""9.58:-11.55"",""Africa/Freetown"",""Sierra Leone"""
"KBB,""city"",""Киркимби"",""Kirkimbie"",""-17.766667:129.233333"",""Australia/Lindeman"",""Australia"""
"KBC,""city"",""Берч Крик"",""Birch Creek"",""66.261111:-145.8144444"",""America/Indiana/Knox"",""United States"""
"KBD,""city"",""Кимберли Даунс"",""Kimberley Downs"",""-17.4:124.35"",""Australia/Perth"",""Australia"""
"KBE,""city"",""Белл Айленд"",""Bell Island"",""55.93:-131.57"",""America/Indiana/Knox"",""United States"""
"KBF,""city"",""Карубага"",""Karubaga"",""-3.75:138.33"",""Asia/Jayapura"",""Indonesia"""
"KBG,""city"",""Кабалега Фолс"",""Kabalega Falls"",""2.3264687:31.4973864"",""Africa/Kampala"",""Uganda"""
"KBH,""city"",""Калат"",""Kalat"",""29.03:66.58"",""Asia/Karachi"",""Pakistan"""
"KBI,""city"",""Криби"",""Kribi"",""2.933095:9.910309"",""Africa/Douala"",""Cameroon"""
"KBJ,""city"",""Кингс Каньон"",""Kings Canyon"",""-24.26:131.49"",""Australia/Darwin"",""Australia"""
"KBK,""city"",""Залив Клаг"",""Klag Bay"",""57.6426467:-136.0994729"",""America/Juneau"",""United States"""
"KBL,""city"",""Кабул"",""Kabul"",""34.528455:69.171703"",""Asia/Kabul"",""Afghanistan"""
"KBM,""city"",""Кабвум"",""Kabwum"",""-6.15:147.18"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"KBN,""city"",""Кабенда"",""Kabinda"",""-6.137449:24.48234"",""Africa/Lubumbashi"",""Democratic Republic of the Congo"""
"KBO,""city"",""Кабало"",""Kabalo"",""-6.05:26.9166667"",""Africa/Lubumbashi"",""Democratic Republic of the Congo"""
"KBP,""city"",""Киев"",""Kiev"",""50.4501:30.5234"",""Europe/Kiev"",""Ukraine"""
"KBQ,""city"",""Касунгу"",""Kasungu"",""-13.0333333:33.4833333"",""Africa/Blantyre"",""Malawi"""
"KBR,""city"",""Кота-Бару"",""Kota Bharu"",""6.122013:102.252267"",""Asia/Kuala_Lumpur"",""Malaysia"""
"KBS,""city"",""Бо"",""Bo"",""7.9563889:-11.74"",,""Sierra Leone"""
"KBT,""city"",""Кабен"",""Kaben"",""8.9:170.84"",""Pacific/Kwajalein"",""Marshall Islands"""
"KBU,""city"",""Котабару"",""Kotabaru"",""-3.4:116.22"",""Asia/Jakarta"",""Indonesia"""
"KBV,""city"",""Краби"",""Krabi"",""8.1191811:99.1013498"",""Asia/Bangkok"",""Thailand"""
"KBX,""city"",""Камбуайя"",""Kambuaya"",""-1.0:132.25"",""Asia/Jayapura"",""Indonesia"""
"KBY,""city"",""Стрики Бэй"",""Streaky Bay"",""-32.7957779:134.2114395"",""Australia/Adelaide"",""Australia"""
"KBZ,""city"",""Кайкаура"",""Kaikoura"",""-42.4008174:173.681386"",""Pacific/Auckland"",""New Zealand"""
"KCA,""city"",""Куча"",""Kuqa"",""41.717906:82.962016"",""Asia/Urumqi"",""China"""
"KCB,""city"",""Касикасима"",""Kasikasima"",,""+0.0"",""Suriname"""
"KCC,""city"",""Кофман Ков"",""Coffman Cove"",""56.0138889:-132.8277778"",""America/Chicago"",""United States"""
"KCD,""city"",""Камур"",""Kamur"",""-4.4:136.68"",""Europe/Istanbul"",""Indonesia"""
"KCE,""city"",""Коллинсвиль"",""Collinsville"",""-20.5530485:147.8443104"",""Australia/Adelaide"",""Australia"""
"KCF,""city"",""Каданвари"",""Kadanwari"",""27.17:69.32"",""Asia/Karachi"",""Pakistan"""
"KCH,""city"",""Кучинг"",""Kuching"",""1.530976:110.3442199"",""Asia/Kuching"",""Malaysia"""
"KCI,""city"",""Кон"",""Kon"",""-2.75:132.27"",""Asia/Magadan"",""Indonesia"""
"KCJ,""city"",""Комайо"",""Komaio"",""-7.22:143.6"",""Pacific/Port_Moresby"",""Papua New Guinea"""
"KCK,""city"",""Канзас Сити"",""Kansas City"",""39.0997265:-94.5785667"",""America/Indiana/Vincennes"",""United States"""
"KCM,""city"",""Кахраманмараш"",""Kahramanmaras"",""37.5833333:36.9333333"",""Europe/Istanbul"",""Turkey"""
"KCN,""city"",""Чернофски"",""Chernofski"",""53.4:-167.55"",""America/Nome"",""United States"""
"KCO,""city"",""Коджаэли"",""Kocaeli"",""40.8532704:29.8815203"",""Europe/Istanbul"",""Turkey"""
"KCP,""city"",""Каменец-Подольский"",""Kamenets-podolskiy"",""48.6833333:26.5833333"",""Europe/Uzhgorod"",""Ukraine"""
